id|conexion|vel_conexion|TV
34918|ADSL|10MB|tv-familiar
34919|ADSL|15MB|tv-familiar
34920|ADSL|35MB|tv-futbol
34921|FIBRA|300MB|tv-familiar
34922|FIBRA|100MB|tv-futbol
34923|FIBRA|600MB|tv-familiar
34924|FIBRA|200MB|tv-futbol
34925|ADSL|35MB|tv-familiar
34926|ADSL|15MB|tv-total
34928|FIBRA|200MB|tv-futbol
34929|ADSL|30MB|tv-familiar
34930|FIBRA|200MB|tv-futbol
34931|ADSL|10MB|tv-familiar
34932|ADSL|35MB|tv-total
34933|ADSL|35MB|tv-futbol
34934|ADSL|10MB|tv-futbol
34935|FIBRA|50MB|tv-futbol
34936|ADSL|20MB|tv-futbol
34937|ADSL|10MB|tv-futbol
34938|ADSL|20MB|tv-futbol
34939|ADSL|20MB|tv-total
34940|ADSL|25MB|tv-futbol
34941|ADSL|25MB|tv-futbol
34942|ADSL|30MB|tv-futbol
34943|ADSL|15MB|tv-futbol
34944|ADSL|30MB|tv-familiar
34945|FIBRA|600MB|tv-futbol
34946|FIBRA|50MB|tv-futbol
34947|FIBRA|600MB|tv-futbol
34948|ADSL|10MB|tv-familiar
34949|ADSL|10MB|tv-futbol
34950|ADSL|25MB|tv-familiar
34951|ADSL|30MB|tv-futbol
34952|ADSL|25MB|tv-total
34953|ADSL|15MB|tv-familiar
34954|ADSL|25MB|tv-futbol
34955|FIBRA|200MB|tv-futbol
34956|FIBRA|200MB|tv-futbol
34957|ADSL|25MB|tv-futbol
34958|ADSL|15MB|tv-futbol
34959|FIBRA|600MB|tv-futbol
34960|FIBRA|300MB|tv-familiar
34961|FIBRA|50MB|tv-familiar
34962|FIBRA|100MB|tv-futbol
34963|ADSL|25MB|tv-familiar
34964|ADSL|20MB|tv-total
34965|FIBRA|100MB|tv-futbol
34966|FIBRA|200MB|tv-futbol
34967|FIBRA|300MB|tv-familiar
34968|FIBRA|200MB|tv-familiar
34969|FIBRA|100MB|tv-futbol
34970|FIBRA|100MB|tv-futbol
34971|ADSL|25MB|tv-familiar
34972|ADSL|15MB|tv-familiar
34973|FIBRA|600MB|tv-familiar
34974|FIBRA|200MB|tv-futbol
34975|FIBRA|600MB|tv-futbol
34976|ADSL|20MB|tv-familiar
34978|FIBRA|300MB|tv-total
34979|ADSL|20MB|tv-familiar
34980|FIBRA|50MB|tv-familiar
34981|FIBRA|300MB|tv-familiar
34982|ADSL|15MB|tv-futbol
34984|FIBRA|100MB|tv-familiar
34985|FIBRA|50MB|tv-futbol
34986|ADSL|10MB|tv-futbol
34987|ADSL|10MB|tv-futbol
34988|ADSL|25MB|tv-familiar
34989|FIBRA|300MB|tv-familiar
34990|FIBRA|300MB|tv-futbol
34991|FIBRA|600MB|tv-familiar
34992|ADSL|15MB|tv-futbol
34993|ADSL|20MB|tv-familiar
34994|FIBRA|100MB|tv-familiar
34995|ADSL|30MB|tv-futbol
34996|ADSL|10MB|tv-total
34997|FIBRA|300MB|tv-total
34998|ADSL|20MB|tv-futbol
34999|ADSL|10MB|tv-futbol
35000|FIBRA|100MB|tv-futbol
35001|FIBRA|600MB|tv-familiar
35002|ADSL|10MB|tv-futbol
35003|ADSL|20MB|tv-futbol
35004|ADSL|10MB|tv-familiar
35005|ADSL|15MB|tv-futbol
35006|FIBRA|50MB|tv-total
35007|FIBRA|50MB|tv-futbol
35008|FIBRA|300MB|tv-total
35009|ADSL|35MB|tv-familiar
35010|FIBRA|600MB|tv-futbol
35011|ADSL|30MB|tv-futbol
35012|ADSL|20MB|tv-familiar
35013|ADSL|30MB|tv-familiar
35014|FIBRA|100MB|tv-total
35015|ADSL|25MB|tv-futbol
35016|ADSL|30MB|tv-familiar
35017|ADSL|30MB|tv-familiar
35019|ADSL|15MB|tv-futbol
35020|ADSL|15MB|tv-futbol
35021|FIBRA|600MB|tv-familiar
35022|ADSL|30MB|tv-total
35023|ADSL|10MB|tv-futbol
35024|FIBRA|100MB|tv-familiar
35025|FIBRA|600MB|tv-futbol
35026|FIBRA|600MB|tv-futbol
35027|FIBRA|200MB|tv-futbol
35028|FIBRA|600MB|tv-futbol
35029|ADSL|25MB|tv-futbol
35030|FIBRA|300MB|tv-futbol
35031|FIBRA|50MB|tv-familiar
35032|FIBRA|100MB|tv-total
35033|ADSL|25MB|tv-familiar
35034|FIBRA|200MB|tv-futbol
35035|ADSL|20MB|tv-total
35038|ADSL|30MB|tv-familiar
35039|ADSL|10MB|tv-total
35040|FIBRA|50MB|tv-futbol
35041|ADSL|30MB|tv-futbol
35042|FIBRA|50MB|tv-futbol
35043|FIBRA|200MB|tv-familiar
35044|ADSL|15MB|tv-familiar
35045|ADSL|30MB|tv-familiar
35046|FIBRA|100MB|tv-futbol
35048|FIBRA|100MB|tv-familiar
35049|ADSL|30MB|tv-futbol
35050|ADSL|35MB|tv-total
35051|FIBRA|50MB|tv-futbol
35052|FIBRA|200MB|tv-futbol
35053|ADSL|25MB|tv-futbol
35054|ADSL|35MB|tv-futbol
35055|FIBRA|50MB|tv-futbol
35056|FIBRA|300MB|tv-familiar
35057|ADSL|20MB|tv-futbol
35058|ADSL|25MB|tv-familiar
35059|ADSL|25MB|tv-futbol
35060|ADSL|35MB|tv-familiar
35061|ADSL|30MB|tv-familiar
35062|FIBRA|50MB|tv-futbol
35063|ADSL|25MB|tv-futbol
35065|ADSL|35MB|tv-futbol
35066|ADSL|25MB|tv-total
35067|FIBRA|100MB|tv-futbol
35068|FIBRA|300MB|tv-familiar
35069|FIBRA|200MB|tv-futbol
35070|ADSL|35MB|tv-familiar
35071|FIBRA|50MB|tv-total
35072|FIBRA|100MB|tv-futbol
35073|ADSL|10MB|tv-familiar
35074|FIBRA|200MB|tv-familiar
35075|ADSL|30MB|tv-futbol
35076|ADSL|20MB|tv-familiar
35077|ADSL|15MB|tv-futbol
35078|FIBRA|600MB|tv-familiar
35079|ADSL|20MB|tv-futbol
35080|ADSL|15MB|tv-futbol
35081|FIBRA|600MB|tv-futbol
35082|FIBRA|100MB|tv-futbol
35083|FIBRA|600MB|tv-futbol
35084|FIBRA|100MB|tv-futbol
35085|ADSL|20MB|tv-total
35086|FIBRA|50MB|tv-familiar
35087|ADSL|35MB|tv-total
35088|FIBRA|200MB|tv-familiar
35089|ADSL|20MB|tv-futbol
35090|FIBRA|600MB|tv-futbol
35091|FIBRA|600MB|tv-familiar
35092|ADSL|25MB|tv-futbol
35093|ADSL|15MB|tv-futbol
35094|FIBRA|200MB|tv-futbol
35095|FIBRA|300MB|tv-futbol
35096|FIBRA|300MB|tv-futbol
35098|ADSL|10MB|tv-futbol
35099|ADSL|15MB|tv-futbol
35100|FIBRA|300MB|tv-futbol
35101|FIBRA|50MB|tv-futbol
35102|ADSL|30MB|tv-futbol
35103|ADSL|20MB|tv-familiar
35104|ADSL|15MB|tv-familiar
35105|ADSL|30MB|tv-familiar
35106|ADSL|10MB|tv-familiar
35107|ADSL|10MB|tv-futbol
35108|ADSL|20MB|tv-familiar
35109|FIBRA|200MB|tv-total
35110|ADSL|15MB|tv-futbol
35111|FIBRA|200MB|tv-familiar
35112|FIBRA|50MB|tv-futbol
35113|ADSL|25MB|tv-total
35114|FIBRA|200MB|tv-futbol
35115|ADSL|15MB|tv-familiar
35116|ADSL|25MB|tv-familiar
35117|ADSL|10MB|tv-futbol
35119|FIBRA|200MB|tv-total
35120|ADSL|20MB|tv-futbol
35121|FIBRA|300MB|tv-futbol
35122|ADSL|25MB|tv-futbol
35123|ADSL|15MB|tv-familiar
35124|FIBRA|300MB|tv-familiar
35125|FIBRA|50MB|tv-total
35126|ADSL|15MB|tv-familiar
35127|ADSL|35MB|tv-familiar
35128|FIBRA|600MB|tv-futbol
35129|FIBRA|200MB|tv-familiar
35130|ADSL|30MB|tv-futbol
35131|FIBRA|50MB|tv-futbol
35132|FIBRA|100MB|tv-total
35133|FIBRA|300MB|tv-futbol
35134|ADSL|20MB|tv-futbol
35135|ADSL|35MB|tv-futbol
35136|ADSL|15MB|tv-familiar
35137|ADSL|10MB|tv-futbol
35138|FIBRA|200MB|tv-futbol
35139|FIBRA|300MB|tv-futbol
35140|FIBRA|200MB|tv-familiar
35141|ADSL|30MB|tv-total
35142|FIBRA|300MB|tv-futbol
35143|ADSL|15MB|tv-total
35144|ADSL|20MB|tv-futbol
35145|FIBRA|600MB|tv-familiar
35146|FIBRA|100MB|tv-futbol
35147|ADSL|25MB|tv-futbol
35148|FIBRA|300MB|tv-futbol
35149|FIBRA|100MB|tv-futbol
35150|ADSL|10MB|tv-familiar
35151|FIBRA|100MB|tv-total
35152|ADSL|15MB|tv-futbol
35153|ADSL|35MB|tv-futbol
35154|FIBRA|100MB|tv-futbol
35155|ADSL|20MB|tv-total
35156|FIBRA|300MB|tv-futbol
35157|FIBRA|100MB|tv-futbol
35158|FIBRA|50MB|tv-familiar
35159|FIBRA|50MB|tv-futbol
35161|ADSL|10MB|tv-total
35162|FIBRA|300MB|tv-futbol
35163|FIBRA|50MB|tv-total
35164|ADSL|15MB|tv-futbol
35165|FIBRA|300MB|tv-futbol
35166|FIBRA|50MB|tv-futbol
35167|ADSL|10MB|tv-familiar
35168|FIBRA|100MB|tv-total
35169|ADSL|35MB|tv-familiar
35170|FIBRA|600MB|tv-familiar
35171|ADSL|25MB|tv-familiar
35172|ADSL|10MB|tv-familiar
35173|FIBRA|100MB|tv-familiar
35174|ADSL|25MB|tv-futbol
35175|ADSL|10MB|tv-familiar
35176|ADSL|20MB|tv-familiar
35177|ADSL|15MB|tv-familiar
35178|FIBRA|50MB|tv-familiar
35179|FIBRA|200MB|tv-familiar
35180|ADSL|10MB|tv-futbol
35181|FIBRA|600MB|tv-familiar
35182|FIBRA|300MB|tv-futbol
35184|FIBRA|200MB|tv-familiar
35185|ADSL|30MB|tv-futbol
35186|FIBRA|300MB|tv-futbol
35187|ADSL|30MB|tv-total
35188|FIBRA|300MB|tv-familiar
35189|FIBRA|200MB|tv-futbol
35190|FIBRA|200MB|tv-futbol
35191|FIBRA|50MB|tv-futbol
35193|ADSL|20MB|tv-futbol
35194|ADSL|30MB|tv-total
35195|FIBRA|100MB|tv-familiar
35196|FIBRA|100MB|tv-futbol
35197|FIBRA|50MB|tv-futbol
35198|ADSL|35MB|tv-futbol
35199|FIBRA|200MB|tv-futbol
35200|ADSL|15MB|tv-familiar
35201|FIBRA|600MB|tv-total
35202|ADSL|30MB|tv-familiar
35203|FIBRA|200MB|tv-futbol
35204|ADSL|35MB|tv-futbol
35205|FIBRA|200MB|tv-familiar
35206|FIBRA|100MB|tv-total
35207|ADSL|25MB|tv-total
35208|FIBRA|50MB|tv-total
35209|FIBRA|100MB|tv-familiar
35210|ADSL|15MB|tv-futbol
35211|ADSL|15MB|tv-total
35212|FIBRA|300MB|tv-futbol
35213|FIBRA|300MB|tv-futbol
35214|FIBRA|200MB|tv-familiar
35215|FIBRA|300MB|tv-futbol
35216|ADSL|35MB|tv-total
35217|ADSL|15MB|tv-total
35218|FIBRA|200MB|tv-futbol
35219|ADSL|15MB|tv-futbol
35221|FIBRA|100MB|tv-familiar
35222|FIBRA|50MB|tv-futbol
35223|ADSL|30MB|tv-familiar
35224|FIBRA|50MB|tv-futbol
35225|ADSL|15MB|tv-futbol
35226|FIBRA|200MB|tv-familiar
35227|FIBRA|50MB|tv-familiar
35228|ADSL|25MB|tv-futbol
35229|FIBRA|100MB|tv-familiar
35230|ADSL|30MB|tv-familiar
35231|ADSL|25MB|tv-familiar
35232|ADSL|35MB|tv-familiar
35233|FIBRA|100MB|tv-futbol
35234|ADSL|35MB|tv-futbol
35235|FIBRA|50MB|tv-total
35236|ADSL|15MB|tv-familiar
35237|ADSL|20MB|tv-futbol
35238|ADSL|35MB|tv-total
35239|ADSL|20MB|tv-futbol
35240|FIBRA|600MB|tv-familiar
35241|ADSL|20MB|tv-familiar
35242|ADSL|30MB|tv-familiar
35243|FIBRA|50MB|tv-futbol
35244|FIBRA|600MB|tv-familiar
35245|ADSL|25MB|tv-futbol
35246|FIBRA|600MB|tv-total
35247|ADSL|10MB|tv-familiar
35248|ADSL|30MB|tv-futbol
35249|FIBRA|300MB|tv-familiar
35250|ADSL|35MB|tv-futbol
35251|FIBRA|100MB|tv-futbol
35252|FIBRA|100MB|tv-total
35253|ADSL|35MB|tv-futbol
35254|FIBRA|100MB|tv-futbol
35255|FIBRA|200MB|tv-familiar
35256|ADSL|15MB|tv-futbol
35257|FIBRA|300MB|tv-futbol
35258|ADSL|30MB|tv-total
35259|ADSL|15MB|tv-familiar
35260|FIBRA|200MB|tv-futbol
35261|FIBRA|50MB|tv-futbol
35262|ADSL|30MB|tv-total
35263|ADSL|25MB|tv-familiar
35264|ADSL|35MB|tv-futbol
35265|FIBRA|600MB|tv-futbol
35266|FIBRA|200MB|tv-futbol
35267|FIBRA|600MB|tv-futbol
35268|FIBRA|50MB|tv-familiar
35269|FIBRA|50MB|tv-total
35270|ADSL|20MB|tv-futbol
35271|FIBRA|600MB|tv-familiar
35273|FIBRA|600MB|tv-total
35274|ADSL|20MB|tv-familiar
35275|FIBRA|600MB|tv-familiar
35276|ADSL|20MB|tv-familiar
35277|ADSL|15MB|tv-familiar
35278|FIBRA|600MB|tv-familiar
35279|FIBRA|100MB|tv-futbol
35280|FIBRA|200MB|tv-familiar
35281|ADSL|20MB|tv-futbol
35282|FIBRA|100MB|tv-futbol
35283|ADSL|30MB|tv-futbol
35284|ADSL|35MB|tv-futbol
35285|FIBRA|600MB|tv-futbol
35286|ADSL|25MB|tv-futbol
35287|ADSL|15MB|tv-futbol
35288|FIBRA|300MB|tv-futbol
35289|ADSL|15MB|tv-futbol
35290|FIBRA|200MB|tv-futbol
35292|FIBRA|50MB|tv-futbol
35293|ADSL|35MB|tv-futbol
35294|FIBRA|200MB|tv-familiar
35295|FIBRA|100MB|tv-familiar
35296|ADSL|25MB|tv-total
35297|FIBRA|200MB|tv-familiar
35298|FIBRA|300MB|tv-futbol
35299|FIBRA|300MB|tv-familiar
35300|ADSL|30MB|tv-familiar
35301|ADSL|25MB|tv-familiar
35302|ADSL|25MB|tv-futbol
35303|FIBRA|200MB|tv-familiar
35304|FIBRA|600MB|tv-familiar
35305|ADSL|15MB|tv-futbol
35306|ADSL|15MB|tv-futbol
35307|FIBRA|600MB|tv-familiar
35308|ADSL|10MB|tv-futbol
35309|FIBRA|600MB|tv-familiar
35310|FIBRA|600MB|tv-total
35311|FIBRA|100MB|tv-futbol
35312|FIBRA|100MB|tv-futbol
35313|ADSL|30MB|tv-futbol
35314|ADSL|20MB|tv-total
35315|ADSL|25MB|tv-futbol
35316|FIBRA|200MB|tv-total
35317|ADSL|35MB|tv-futbol
35318|ADSL|20MB|tv-familiar
35319|FIBRA|600MB|tv-familiar
35320|FIBRA|600MB|tv-familiar
35321|FIBRA|600MB|tv-futbol
35322|FIBRA|100MB|tv-familiar
35324|ADSL|10MB|tv-futbol
35326|FIBRA|50MB|tv-futbol
35327|ADSL|25MB|tv-familiar
35328|FIBRA|50MB|tv-familiar
35329|ADSL|25MB|tv-familiar
35330|FIBRA|300MB|tv-futbol
35331|FIBRA|50MB|tv-futbol
35332|ADSL|35MB|tv-familiar
35333|FIBRA|50MB|tv-futbol
35334|ADSL|15MB|tv-futbol
35335|FIBRA|50MB|tv-futbol
35337|FIBRA|300MB|tv-futbol
35338|ADSL|35MB|tv-familiar
35339|ADSL|20MB|tv-familiar
35340|FIBRA|50MB|tv-futbol
35341|FIBRA|100MB|tv-total
35342|ADSL|20MB|tv-futbol
35343|ADSL|25MB|tv-familiar
35344|FIBRA|100MB|tv-familiar
35345|ADSL|30MB|tv-total
35346|ADSL|20MB|tv-futbol
35347|ADSL|25MB|tv-total
35348|ADSL|30MB|tv-futbol
35349|ADSL|30MB|tv-futbol
35351|FIBRA|50MB|tv-familiar
35352|FIBRA|200MB|tv-familiar
35353|ADSL|35MB|tv-futbol
35354|ADSL|10MB|tv-futbol
35355|FIBRA|600MB|tv-familiar
35356|ADSL|30MB|tv-total
35358|ADSL|30MB|tv-total
35359|ADSL|10MB|tv-familiar
35360|ADSL|20MB|tv-futbol
35361|ADSL|10MB|tv-familiar
35362|ADSL|20MB|tv-familiar
35363|ADSL|15MB|tv-futbol
35364|ADSL|10MB|tv-total
35365|ADSL|25MB|tv-familiar
35366|FIBRA|600MB|tv-futbol
35367|ADSL|10MB|tv-futbol
35368|FIBRA|600MB|tv-futbol
35369|FIBRA|50MB|tv-futbol
35370|ADSL|10MB|tv-total
35371|FIBRA|600MB|tv-futbol
35372|ADSL|10MB|tv-futbol
35373|FIBRA|600MB|tv-futbol
35374|ADSL|20MB|tv-total
35375|FIBRA|300MB|tv-futbol
35376|FIBRA|50MB|tv-futbol
35377|FIBRA|50MB|tv-familiar
35378|FIBRA|50MB|tv-familiar
35379|FIBRA|600MB|tv-futbol
35380|FIBRA|300MB|tv-futbol
35381|ADSL|35MB|tv-futbol
35382|FIBRA|100MB|tv-total
35383|FIBRA|600MB|tv-futbol
35384|ADSL|25MB|tv-futbol
35385|ADSL|30MB|tv-futbol
35386|ADSL|15MB|tv-total
35387|ADSL|25MB|tv-total
35388|ADSL|10MB|tv-familiar
35389|FIBRA|50MB|tv-futbol
35390|ADSL|35MB|tv-familiar
35391|FIBRA|600MB|tv-futbol
35392|FIBRA|600MB|tv-futbol
35393|ADSL|10MB|tv-familiar
35394|ADSL|20MB|tv-familiar
35395|ADSL|20MB|tv-futbol
35396|FIBRA|300MB|tv-futbol
35397|FIBRA|50MB|tv-total
35398|FIBRA|600MB|tv-futbol
35399|FIBRA|100MB|tv-total
35400|ADSL|30MB|tv-futbol
35401|FIBRA|300MB|tv-total
35402|FIBRA|100MB|tv-futbol
35403|FIBRA|50MB|tv-familiar
35404|FIBRA|100MB|tv-total
35405|FIBRA|200MB|tv-familiar
35407|ADSL|20MB|tv-futbol
35408|ADSL|30MB|tv-familiar
35409|FIBRA|100MB|tv-futbol
35410|FIBRA|200MB|tv-familiar
35411|ADSL|25MB|tv-futbol
35412|FIBRA|600MB|tv-familiar
35413|FIBRA|200MB|tv-familiar
35414|ADSL|25MB|tv-familiar
35415|FIBRA|600MB|tv-futbol
35416|ADSL|25MB|tv-familiar
35417|ADSL|30MB|tv-futbol
35418|FIBRA|50MB|tv-total
35419|ADSL|10MB|tv-futbol
35420|FIBRA|200MB|tv-futbol
35421|ADSL|20MB|tv-familiar
35422|FIBRA|300MB|tv-familiar
35423|ADSL|35MB|tv-futbol
35424|FIBRA|200MB|tv-familiar
35425|ADSL|20MB|tv-futbol
35427|ADSL|10MB|tv-familiar
35428|ADSL|35MB|tv-familiar
35429|ADSL|15MB|tv-futbol
35430|ADSL|15MB|tv-futbol
35431|FIBRA|100MB|tv-futbol
35432|FIBRA|50MB|tv-futbol
35433|ADSL|20MB|tv-futbol
35434|FIBRA|200MB|tv-futbol
35435|ADSL|30MB|tv-familiar
35436|ADSL|10MB|tv-familiar
35437|ADSL|25MB|tv-futbol
35438|FIBRA|50MB|tv-futbol
35439|ADSL|20MB|tv-futbol
35440|ADSL|35MB|tv-futbol
35441|FIBRA|200MB|tv-futbol
35442|ADSL|10MB|tv-familiar
35443|ADSL|30MB|tv-familiar
35444|ADSL|30MB|tv-familiar
35445|FIBRA|200MB|tv-familiar
35446|ADSL|25MB|tv-futbol
35447|FIBRA|100MB|tv-futbol
35448|ADSL|20MB|tv-futbol
35449|FIBRA|100MB|tv-futbol
35450|ADSL|30MB|tv-futbol
35451|ADSL|30MB|tv-familiar
35452|ADSL|25MB|tv-futbol
35453|FIBRA|300MB|tv-familiar
35454|ADSL|10MB|tv-familiar
35455|FIBRA|200MB|tv-futbol
35456|FIBRA|50MB|tv-familiar
35457|ADSL|10MB|tv-familiar
35458|FIBRA|300MB|tv-futbol
35460|ADSL|15MB|tv-familiar
35461|FIBRA|300MB|tv-futbol
35463|ADSL|25MB|tv-familiar
35464|ADSL|20MB|tv-total
35465|FIBRA|200MB|tv-familiar
35466|ADSL|25MB|tv-futbol
35467|FIBRA|300MB|tv-futbol
35468|FIBRA|300MB|tv-familiar
35469|FIBRA|200MB|tv-futbol
35471|ADSL|30MB|tv-futbol
35472|ADSL|15MB|tv-futbol
35473|FIBRA|600MB|tv-futbol
35474|ADSL|30MB|tv-familiar
35475|ADSL|25MB|tv-futbol
35476|FIBRA|100MB|tv-familiar
35477|ADSL|35MB|tv-total
35478|FIBRA|300MB|tv-total
35479|ADSL|15MB|tv-futbol
35480|FIBRA|100MB|tv-total
35481|FIBRA|100MB|tv-total
35482|FIBRA|600MB|tv-familiar
35483|ADSL|20MB|tv-futbol
35484|FIBRA|600MB|tv-familiar
35485|ADSL|20MB|tv-total
35486|FIBRA|200MB|tv-total
35487|FIBRA|50MB|tv-futbol
35488|FIBRA|600MB|tv-familiar
35489|ADSL|25MB|tv-familiar
35490|FIBRA|50MB|tv-futbol
35491|ADSL|10MB|tv-total
35492|ADSL|20MB|tv-familiar
35493|FIBRA|100MB|tv-futbol
35494|FIBRA|50MB|tv-total
35495|FIBRA|300MB|tv-futbol
35496|ADSL|30MB|tv-familiar
35497|ADSL|25MB|tv-familiar
35498|ADSL|35MB|tv-familiar
35499|FIBRA|50MB|tv-familiar
35501|ADSL|35MB|tv-familiar
35502|FIBRA|100MB|tv-futbol
35503|ADSL|30MB|tv-total
35504|ADSL|30MB|tv-familiar
35505|ADSL|20MB|tv-familiar
35506|ADSL|10MB|tv-total
35507|FIBRA|50MB|tv-futbol
35508|ADSL|20MB|tv-futbol
35509|FIBRA|200MB|tv-familiar
35510|FIBRA|300MB|tv-familiar
35511|FIBRA|50MB|tv-futbol
35512|ADSL|15MB|tv-familiar
35513|FIBRA|300MB|tv-familiar
35514|FIBRA|300MB|tv-futbol
35515|ADSL|20MB|tv-total
35516|ADSL|10MB|tv-futbol
35517|FIBRA|100MB|tv-total
35518|ADSL|35MB|tv-futbol
35520|ADSL|35MB|tv-futbol
35521|FIBRA|600MB|tv-futbol
35522|FIBRA|200MB|tv-futbol
35523|ADSL|25MB|tv-futbol
35524|ADSL|15MB|tv-futbol
35525|FIBRA|50MB|tv-familiar
35526|ADSL|10MB|tv-futbol
35527|FIBRA|300MB|tv-futbol
35528|ADSL|10MB|tv-futbol
35529|FIBRA|50MB|tv-familiar
35530|ADSL|20MB|tv-total
35531|ADSL|25MB|tv-familiar
35532|ADSL|10MB|tv-futbol
35533|FIBRA|50MB|tv-futbol
35534|FIBRA|100MB|tv-futbol
35535|ADSL|15MB|tv-familiar
35536|ADSL|25MB|tv-futbol
35537|FIBRA|200MB|tv-futbol
35538|FIBRA|200MB|tv-familiar
35539|ADSL|35MB|tv-familiar
35540|ADSL|35MB|tv-futbol
35541|ADSL|10MB|tv-familiar
35542|FIBRA|100MB|tv-familiar
35543|FIBRA|100MB|tv-futbol
35544|FIBRA|100MB|tv-futbol
35545|FIBRA|50MB|tv-futbol
35546|FIBRA|50MB|tv-futbol
35547|ADSL|20MB|tv-familiar
35548|ADSL|10MB|tv-familiar
35549|FIBRA|100MB|tv-familiar
35550|FIBRA|200MB|tv-futbol
35551|ADSL|20MB|tv-futbol
35552|ADSL|35MB|tv-total
35554|ADSL|15MB|tv-familiar
35555|ADSL|25MB|tv-familiar
35556|ADSL|30MB|tv-futbol
35557|FIBRA|50MB|tv-total
35558|FIBRA|100MB|tv-familiar
35559|ADSL|30MB|tv-familiar
35560|FIBRA|50MB|tv-futbol
35561|FIBRA|50MB|tv-familiar
35562|FIBRA|200MB|tv-futbol
35563|ADSL|30MB|tv-futbol
35564|ADSL|15MB|tv-familiar
35565|FIBRA|100MB|tv-futbol
35566|ADSL|25MB|tv-familiar
35567|FIBRA|50MB|tv-futbol
35568|ADSL|20MB|tv-familiar
35569|ADSL|25MB|tv-familiar
35570|FIBRA|100MB|tv-familiar
35571|ADSL|20MB|tv-futbol
35572|FIBRA|600MB|tv-familiar
35573|ADSL|10MB|tv-futbol
35574|FIBRA|100MB|tv-futbol
35575|FIBRA|50MB|tv-total
35576|ADSL|20MB|tv-futbol
35577|ADSL|10MB|tv-futbol
35578|FIBRA|50MB|tv-futbol
35579|FIBRA|100MB|tv-futbol
35580|ADSL|35MB|tv-futbol
35581|FIBRA|300MB|tv-familiar
35582|ADSL|15MB|tv-futbol
35583|FIBRA|600MB|tv-familiar
35584|ADSL|20MB|tv-futbol
35586|FIBRA|50MB|tv-familiar
35587|FIBRA|600MB|tv-familiar
35589|FIBRA|50MB|tv-futbol
35590|FIBRA|200MB|tv-familiar
35591|FIBRA|200MB|tv-futbol
35592|FIBRA|100MB|tv-futbol
35593|FIBRA|600MB|tv-futbol
35594|FIBRA|600MB|tv-futbol
35595|FIBRA|100MB|tv-futbol
35596|FIBRA|200MB|tv-familiar
35597|FIBRA|200MB|tv-futbol
35599|ADSL|10MB|tv-familiar
35600|ADSL|10MB|tv-familiar
35601|FIBRA|600MB|tv-futbol
35602|FIBRA|50MB|tv-futbol
35603|FIBRA|100MB|tv-futbol
35604|ADSL|30MB|tv-familiar
35605|FIBRA|100MB|tv-futbol
35606|FIBRA|300MB|tv-futbol
35607|ADSL|30MB|tv-futbol
35608|ADSL|20MB|tv-familiar
35609|ADSL|30MB|tv-futbol
35610|FIBRA|200MB|tv-futbol
35611|FIBRA|200MB|tv-total
35612|FIBRA|300MB|tv-futbol
35613|FIBRA|300MB|tv-futbol
35614|FIBRA|50MB|tv-futbol
35615|ADSL|25MB|tv-futbol
35616|FIBRA|50MB|tv-futbol
35617|FIBRA|300MB|tv-familiar
35618|ADSL|15MB|tv-futbol
35619|FIBRA|50MB|tv-familiar
35620|FIBRA|50MB|tv-familiar
35621|ADSL|25MB|tv-futbol
35622|ADSL|35MB|tv-familiar
35623|FIBRA|100MB|tv-futbol
35624|FIBRA|50MB|tv-futbol
35625|FIBRA|100MB|tv-total
35626|FIBRA|600MB|tv-futbol
35627|FIBRA|50MB|tv-familiar
35628|ADSL|15MB|tv-futbol
35629|ADSL|15MB|tv-futbol
35630|ADSL|25MB|tv-familiar
35631|FIBRA|50MB|tv-futbol
35632|ADSL|20MB|tv-total
35633|FIBRA|300MB|tv-futbol
35634|FIBRA|200MB|tv-futbol
35635|ADSL|25MB|tv-futbol
35636|FIBRA|300MB|tv-total
35638|ADSL|25MB|tv-total
35639|FIBRA|600MB|tv-familiar
35640|FIBRA|50MB|tv-familiar
35641|FIBRA|300MB|tv-futbol
35642|FIBRA|50MB|tv-familiar
35643|FIBRA|200MB|tv-familiar
35644|ADSL|35MB|tv-futbol
35645|FIBRA|100MB|tv-familiar
35646|FIBRA|50MB|tv-familiar
35647|ADSL|30MB|tv-total
35648|ADSL|25MB|tv-futbol
35649|FIBRA|300MB|tv-familiar
35650|FIBRA|50MB|tv-familiar
35651|ADSL|35MB|tv-futbol
35652|ADSL|10MB|tv-futbol
35653|ADSL|25MB|tv-familiar
35654|ADSL|20MB|tv-total
35655|ADSL|20MB|tv-familiar
35656|FIBRA|300MB|tv-futbol
35657|ADSL|20MB|tv-futbol
35658|FIBRA|600MB|tv-futbol
35659|FIBRA|50MB|tv-futbol
35660|FIBRA|300MB|tv-total
35661|FIBRA|100MB|tv-futbol
35662|FIBRA|50MB|tv-futbol
35663|FIBRA|200MB|tv-familiar
35664|ADSL|20MB|tv-familiar
35665|FIBRA|50MB|tv-familiar
35666|FIBRA|300MB|tv-total
35667|ADSL|25MB|tv-futbol
35668|FIBRA|100MB|tv-familiar
35669|ADSL|15MB|tv-familiar
35670|ADSL|30MB|tv-futbol
35671|FIBRA|600MB|tv-futbol
35672|ADSL|35MB|tv-total
35674|FIBRA|100MB|tv-futbol
35675|FIBRA|100MB|tv-futbol
35676|ADSL|15MB|tv-futbol
35677|FIBRA|100MB|tv-futbol
